,nx,nr,nt,np,x,r,t,p,w,wj,x_deg,p_deg,t_deg
771,4,1,2,3,0.462090403,5.816195136,0.102908436,0.134791541,0.001692759,0.009845419,26.47582986,7.722986411,84.09332403
772,4,1,2,4,0.462090403,5.816195136,0.102908436,0.361541345,0.00115465,0.006715668,26.47582986,20.71479317,84.09332403
773,4,1,2,5,0.462090403,5.816195136,0.102908436,0.472568889,0.000203386,0.001182935,26.47582986,27.07620289,84.09332403
774,4,1,3,0,0.462090403,5.816195136,0.185040568,-0.387334829,0.000166703,0.000969577,26.47582986,-22.19265094,79.33650242
775,4,1,3,1,0.462090403,5.816195136,0.185040568,-0.296332573,0.000946393,0.005504408,26.47582986,-16.97860576,79.33650242
776,4,1,3,2,0.462090403,5.816195136,0.185040568,-0.110480101,0.001387448,0.008069667,26.47582986,-6.330043484,79.33650242
777,4,1,3,3,0.462090403,5.816195136,0.185040568,0.110480101,0.001387448,0.008069667,26.47582986,6.330043484,79.33650242
778,4,1,3,4,0.462090403,5.816195136,0.185040568,0.296332573,0.000946393,0.005504408,26.47582986,16.97860576,79.33650242
779,4,1,3,5,0.462090403,5.816195136,0.185040568,0.387334829,0.000166703,0.000969577,26.47582986,22.19265094,79.33650242
780,4,1,4,0,0.462090403,5.816195136,0.254122961,-0.237619797,6.98E-05,0.000405726,26.47582986,-13.6146115,75.27837729
781,4,1,4,1,0.462090403,5.816195136,0.254122961,-0.181792291,0.000396025,0.002303359,26.47582986,-10.41593101,75.27837729
782,4,1,4,2,0.462090403,5.816195136,0.254122961,-0.067776655,0.000580588,0.00337681,26.47582986,-3.883316283,75.27837729
783,4,1,4,3,0.462090403,5.816195136,0.254122961,0.067776655,0.000580588,0.00337681,26.47582986,3.883316283,75.27837729
784,4,1,4,4,0.462090403,5.816195136,0.254122961,0.181792291,0.000396025,0.002303359,26.47582986,10.41593101,75.27837729
785,4,1,4,5,0.462090403,5.816195136,0.254122961,0.237619797,6.98E-05,0.000405726,26.47582986,13.6146115,75.27837729
936,5,1,0,0,0.523598776,5.816195136,0,-0.506267563,4.61E-06,2.68E-05,30,-29.00699468,90
937,5,1,0,1,0.523598776,5.816195136,0,-0.387322695,2.62E-05,0.000152266,30,-22.19195571,90
938,5,1,0,2,0.523598776,5.816195136,0,-0.144403465,3.84E-05,0.000223227,30,-8.273709082,90
939,5,1,0,3,0.523598776,5.816195136,0,0.144403465,3.84E-05,0.000223227,30,8.273709082,90
940,5,1,0,4,0.523598776,5.816195136,0,0.387322695,2.62E-05,0.000152266,30,22.19195571,90
941,5,1,0,5,0.523598776,5.816195136,0,0.506267563,4.61E-06,2.68E-05,30,29.00699468,90
942,5,1,1,0,0.523598776,5.816195136,0.033826043,-0.502729965,2.60E-05,0.000151202,30,-28.80430522,88.06154073
943,5,1,1,1,0.523598776,5.816195136,0.033826043,-0.384616236,0.000147586,0.000858392,30,-22.03688706,88.06154073
944,5,1,1,2,0.523598776,5.816195136,0.033826043,-0.14339443,0.000216367,0.001258434,30,-8.215895658,88.06154073
945,5,1,1,3,0.523598776,5.816195136,0.033826043,0.14339443,0.000216367,0.001258434,30,8.215895658,88.06154073
946,5,1,1,4,0.523598776,5.816195136,0.033826043,0.384616236,0.000147586,0.000858392,30,22.03688706,88.06154073
947,5,1,1,5,0.523598776,5.816195136,0.033826043,0.502729965,2.60E-05,0.000151202,30,28.80430522,88.06154073
948,5,1,2,0,0.523598776,5.816195136,0.102908436,-0.472568889,3.58E-05,0.000208369,30,-27.07620289,84.09332403
949,5,1,2,1,0.523598776,5.816195136,0.102908436,-0.361541345,0.000203386,0.001182935,30,-20.71479317,84.09332403
